id,updated_on,query_id,query_hash,execution_time,start_time,end_time,status,base_cost,parsing_time,queueing_time,added_on,Month,Hour,Date,skipped_pages,operator_id,parquet_task_cost_percent_Percentage,parquet_task_cost_percent_Values,RowsInPerThread_max,seek_io_time_Percentage,seek_io_time_Values,operator,read_io_bytes,task_rowsInCount_0_50_75_90_100,filtering_cost_percent_Percentage,filtering_cost_percent_Values,thread_duration_0_50_75_90_100,skipped_row_groups,read_io_time_percent_Percentage,read_io_time_percent_Values,tasks,total_row_groups,partitions,read_io_count,cost_percent,task_duration_0_50_75_90_100,filteringTimePerThread_0_50_75_90_100,InputRowsPerThread_0_50_75_90_100,seek_io_count,cost_percent_str_Percentage,cost_percent_str_Values,parquet_reading_cost_percent_Percentage,parquet_reading_cost_percent_Values,stream_close_time_Percentage,stream_close_time_Values,partition_listing_time_percent_Percentage,partition_listing_time_percent_Values,open_time_percent_Percentage,open_time_percent_Values,rowgroup_listing_time_percent_Percentage,rowgroup_listing_time_percent_Values,parquet_readingTimePerThread_0_50_75_90_100,files,thread_duration_max,row_count_in,row_count_out,memory_consumption,num_chunks,synchronizationTime_Percentage,synchronizationTime_Values,join_type,TotalParquetReadingTime,executionQueueingTime,ReadIOTime,total_query_time,totalClientQueryTime,was_distributed,totalBytes,TotalTableScanFilteringTime,queue_blocked_time_Percentage,queue_blocked_time_Values,planType,parsingTime,totalOpenDuration,firstChild,parallelism,Join_build_row_count_in_v1,Join_build_row_count_in_v2,Join_build_row_count_in
188,2023-06-20 11:37:19,Q737986-10-20230620.113629.051,873877531,47480.0,1687260989052.0,1687261038131.0,3,0.0004803181126331,0.0,0.0,2023-06-20 11:36:34,6,11,20,,1.0,,,,,,InMemoryAggregationOperator,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,0,0,,0.0,0.0,0.0,,,,,,,,,,,,,,,PartInMemoryAggregationOperator,0.0,,,
188,2023-06-20 11:37:19,Q737986-10-20230620.113629.051,873877531,47480.0,1687260989052.0,1687261038131.0,3,0.0004803181126331,0.0,0.0,2023-06-20 11:36:34,6,11,20,,0.0,,,,,,SinkOperator,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,0,0,,0.0,0.0,0.0,,14375.212743527609,0.0,13981.130844435593,47480.0,48866.0,False,22371161056.0,1371.9440600061344,0.0,0.0,"""VOLCANO""",0.0,27048.0,InMemoryAggregationOperator,0.0,,,
186,2023-06-20 11:29:23,Q737986-8-20230620.112604.164,-289779088,193854.0,1687260364165.0,1687260561300.0,2,0.0004803181126331,0.0,0.0,2023-06-20 11:26:08,6,11,20,0.0,8.0,3.46,6709.0618836307685,65752388.0,0.0,0.0036773846153846,TableScanOperator,,"[4, 102867, 152760, 153140, 65752388]",1.98,3838.6136097923086,"[0.0, 5704.420862, 11915.269545, 12176.419583, 12487.960776]",0.0,1.3,2511.513705038462,129.0,129.0,77.0,2342.0,3.46,"[162.086786, 5704.420862, 11915.269545, 12176.419583, 12487.960776]","[0.0, 3011.612857, 7167.172262, 7263.399083, 7826.032922]","[0, 102867, 152760, 153140, 65752388]",1793.0,3.46,6712.0618836307685,1.41,2732.968910784616,0.0,1.2081868846153847,0.0,0.0,0.0,3.0,0.0,0.0,"[0.0, 2633.689313, 4545.975725, 4845.146407, 5390.517631]",77.0,12490.960776,142825877,11222655,,1569.0,,,,,,,,,,,,,,,,,,129.0,,,
186,2023-06-20 11:29:23,Q737986-8-20230620.112604.164,-289779088,193854.0,1687260364165.0,1687260561300.0,2,0.0004803181126331,0.0,0.0,2023-06-20 11:26:08,6,11,20,,5.0,,,155984.0,,,ColumnarLookupPartBuildOperator,,,,,"[0.0, 0.046656, 0.102426, 0.120776, 0.162072]",,,,,,,,0.0,,,"[0, 101904, 151403, 151806, 155984]",,0.0,0.058,,,,,,,,,,,,,0.162072,11222655,11222655,882900992.0,1567.0,,,,,,,,,,,,,,,,,TableScanOperator,129.0,,,
186,2023-06-20 11:29:23,Q737986-8-20230620.112604.164,-289779088,193854.0,1687260364165.0,1687260561300.0,2,0.0004803181126331,0.0,0.0,2023-06-20 11:26:08,6,11,20,,4.0,,,,,,ColumnarLookupTableBuildOperator,,,,,,,,,,,,,0.22,,,,,0.22,420.124,,,,,,,,,,,,,,11222655,11222655,,130.0,0.0,0.0,,,,,,,,,,,,,,,ColumnarLookupPartBuildOperator,1.0,,,
186,2023-06-20 11:29:23,Q737986-8-20230620.112604.164,-289779088,193854.0,1687260364165.0,1687260561300.0,2,0.0004803181126331,0.0,0.0,2023-06-20 11:26:08,6,11,20,0.0,10.0,38.92,75449.2045840307,97496703.0,0.0,0.5535287852760732,TableScanOperator,,"[0, 0, 153930, 167910, 65752388]",0.0,2.921769926380368,"[0.0, 76323.175427, 77003.75374, 77766.355787, 79285.427706]",0.0,32.93,63830.50103353375,47194.0,47068.0,22678.0,143470.0,39.49,"[0.0, 0.0, 260.155823, 342.351069, 917.076833]","[0.0, 2.88557, 2.948253, 3.023475, 8.429218]","[0, 32284486, 32894645, 33424054, 97496703]",268774.0,39.49,76558.2045840307,38.88,75379.53413665028,0.21,404.9314310920243,0.0,0.0,0.57,1109.0,0.0,0.0,"[0.0, 76292.705767, 76935.228297, 77676.311069, 79180.089963]",22678.0,80394.427706,5327422782,5327422782,,720576.0,,,,,,,,,,,,,,,,,,47068.0,,,
186,2023-06-20 11:29:23,Q737986-8-20230620.112604.164,-289779088,193854.0,1687260364165.0,1687260561300.0,2,0.0004803181126331,0.0,0.0,2023-06-20 11:26:08,6,11,20,,3.0,,,97496703.0,,,JoinOperator,,,,,"[0.0, 53931.536327, 54661.217436, 55550.283609, 57823.983988]",,,,,,,,27.53,,,"[0, 32232020, 32917278, 33420572, 97496703]",,27.53,53359.089,,,,,,,,,,,,,57823.983988,5328377294,9174487548,,1390410.0,,,INNER,,,,,,,,,,,,,,ColumnarLookupTableBuildOperator,47086.0,11222655.0,,11222655.0
186,2023-06-20 11:29:23,Q737986-8-20230620.112604.164,-289779088,193854.0,1687260364165.0,1687260561300.0,2,0.0004803181126331,0.0,0.0,2023-06-20 11:26:08,6,11,20,,2.0,,,61780529.0,,,PartInMemoryAggregationOperator,,,,,"[0.0, 16.371103, 17.219711, 24.382409, 236.084404]",,,,,,,,0.01,,,"[0, 57118771, 58156066, 59147070, 61780529]",,0.01,20.443,,,,,,,,,,,,,236.084404,9184560511,46842,0.0,717562.0,,,,,,,,,,,,,,,,,JoinOperator,47137.0,,,
186,2023-06-20 11:29:23,Q737986-8-20230620.112604.164,-289779088,193854.0,1687260364165.0,1687260561300.0,2,0.0004803181126331,0.0,0.0,2023-06-20 11:26:08,6,11,20,,1.0,,,,,,InMemoryAggregationOperator,,,,,,,,,,,,,0.08,,,,,0.08,154.114,,,,,,,,,,,,,,46899,1,,46900.0,0.09,181.32829,,,,,,,,,,,,,,,PartInMemoryAggregationOperator,1.0,,,
186,2023-06-20 11:29:23,Q737986-8-20230620.112604.164,-289779088,193854.0,1687260364165.0,1687260561300.0,2,0.0004803181126331,0.0,0.0,2023-06-20 11:26:08,6,11,20,,0.0,,,,,,SinkOperator,,,,,,,,,,,,,0.0,,,,,0.0,0.05,,,,,,,,,,,,,,1,1,,1.0,0.0,0.0,,78112.5030474349,0.0,66342.01473857221,193854.0,195520.0,False,109260665395.0,3841.535379718689,0.0,0.0,"""VOLCANO""",0.0,1112.0,InMemoryAggregationOperator,1.0,,,
